participant_id,month,eligible_workshop
Y-029,2026-08,true
Y-030,2026-08,true
Y-031,2026-08,true
Y-032,2026-08,true
Y-033,2026-08,true
Y-034,2026-08,true
Y-035,2026-08,true
Y-036,2026-08,true
Y-037,2026-08,true
Y-038,2026-08,true
Y-039,2026-08,true
Y-040,2026-08,true
Y-041,2026-08,true
Y-042,2026-08,true
Y-043,2026-08,true
Y-044,2026-08,true
Y-045,2026-08,true
Y-046,2026-08,true
Y-047,2026-08,true
Y-048,2026-08,true
Y-049,2026-08,true
Y-050,2026-08,true
Y-051,2026-08,true
Y-052,2026-08,true
Y-053,2026-08,true
Y-054,2026-08,true
Y-055,2026-08,true
Y-056,2026-08,true
Y-057,2026-08,true
Y-058,2026-08,true
Y-059,2026-08,true
