participant_id,month,eligible_workshop
Y-001,2026-07,true
Y-002,2026-07,true
Y-003,2026-07,true
Y-004,2026-07,true
Y-005,2026-07,true
Y-006,2026-07,true
Y-007,2026-07,true
Y-008,2026-07,true
Y-009,2026-07,true
Y-010,2026-07,true
Y-011,2026-07,true
Y-012,2026-07,true
Y-013,2026-07,true
Y-014,2026-07,true
Y-015,2026-07,true
Y-016,2026-07,true
Y-017,2026-07,true
Y-018,2026-07,true
Y-019,2026-07,true
Y-020,2026-07,true
Y-021,2026-07,true
Y-022,2026-07,true
Y-023,2026-07,true
Y-024,2026-07,true
Y-025,2026-07,true
Y-026,2026-07,true
Y-027,2026-07,true
Y-028,2026-07,true
