participant_id,month,eligible_workshop
Y-060,2026-09,true
Y-061,2026-09,true
Y-062,2026-09,true
Y-063,2026-09,true
Y-064,2026-09,true
Y-065,2026-09,true
Y-066,2026-09,true
Y-067,2026-09,true
Y-068,2026-09,true
Y-069,2026-09,true
Y-070,2026-09,true
Y-071,2026-09,true
Y-072,2026-09,true
Y-073,2026-09,true
Y-074,2026-09,true
Y-075,2026-09,true
Y-076,2026-09,true
Y-077,2026-09,true
Y-078,2026-09,true
Y-079,2026-09,true
Y-080,2026-09,true
Y-081,2026-09,true
Y-082,2026-09,true
Y-083,2026-09,true
Y-084,2026-09,true
Y-085,2026-09,true
Y-086,2026-09,true
Y-087,2026-09,true
Y-088,2026-09,true
Y-089,2026-09,true
Y-090,2026-09,true
Y-091,2026-09,true
Y-092,2026-09,true
